Timestamp,Batch_ID,Product_Code,Machine_ID,Shift,Material_Type,Target_Tube_OD_mm,Target_Tube_ID_mm,Target_Wall_Thickness_mm,OD_Tolerance_mm,ID_Tolerance_mm,Wall_Tolerance_mm,Braid_Layers_Planned,Braid_Type_Planned,Cover_Required,Final_Customer_OD_mm,Vacuum_bar,Screw_RPM,Zone1_Temp_C,Zone2_Temp_C,Zone3_Temp_C,Die_Temp_C,Melt_Pressure_bar,Puller_Speed_m_min,Line_Speed_m_min,Cooling_Water_Temp_C,Material_Moisture_pct,Actual_Tube_OD_mm,Actual_Tube_ID_mm,Actual_Wall_Thickness_mm,OD_Deviation_mm,ID_Deviation_mm,Wall_Deviation_mm,Adjustment_Count,Defect_Status,Defect_Type
2026-01-01 00:00:00,B100000,TP-101,EXT-02,A,PU,20.0,18.0,1.0,0.2,0.2,0.15,0,None,No,20.0,-0.7615,60.87,164.54,171.68,182.95,185.14,218.02,13.754,14.256,21.35,0.0773,19.798,17.847,0.97,-0.202,-0.153,-0.03,2,Fail,OD Out of Tolerance
2026-01-01 00:03:00,B100001,TP-115,EXT-01,B,PA11,16.0,13.5,1.25,0.2,0.2,0.1,1,Aramid,Yes,17.657,-0.7733,62.43,190.05,197.46,216.53,215.74,193.68,12.673,12.565,21.85,0.0886,16.007,13.43,1.302,0.007,-0.07,0.052,0,Pass,None
2026-01-01 00:06:00,B100002,TP-105,EXT-02,B,PU,8.0,3.0,2.5,0.1,0.1,0.12,1,Aramid,No,8.825,-0.6399,44.46,167.33,180.24,186.43,193.02,218.26,20.788,20.835,26.47,0.1007,7.938,3.056,2.438,-0.062,0.056,-0.062,4,Pass,None
2026-01-01 00:09:00,B100003,TP-115,EXT-02,C,Hytrel,4.0,2.5,0.75,0.1,0.1,0.15,2,Aramid,No,5.273,-0.4324,57.81,169.67,187.71,195.71,203.52,154.33,19.151,19.442,24.43,0.1726,4.109,2.438,0.846,0.109,-0.062,0.096,4,Fail,OD Out of Tolerance
2026-01-01 00:12:00,B100004,TP-112,EXT-01,B,PA12,6.0,4.5,0.75,0.1,0.1,0.08,2,SS Wire,Yes,9.034,-0.4693,51.46,189.1,194.34,207.75,213.12,132.16,16.779,17.11,21.11,0.0687,5.976,4.411,0.791,-0.024,-0.089,0.041,1,Pass,None
2026-01-01 00:15:00,B100005,TP-105,EXT-03,A,PVDF,6.0,4.0,1.0,0.1,0.1,0.08,2,Aramid,Yes,8.188,-0.537,51.03,211.33,216.71,228.76,228.07,144.37,18.295,18.115,20.7,0.0508,6.012,4.017,0.98,0.012,0.017,-0.02,1,Pass,None
2026-01-01 00:18:00,B100006,TP-110,EXT-02,B,PU,8.0,5.0,1.5,0.1,0.1,0.15,1,Polyester,Yes,10.453,-0.4953,54.36,165.44,184.95,180.02,191.56,177.74,16.596,16.621,20.31,0.0958,7.877,4.986,1.444,-0.123,-0.014,-0.056,3,Fail,OD Out of Tolerance
2026-01-01 00:21:00,B100007,TP-101,EXT-01,B,PU,20.0,16.0,2.0,0.2,0.2,0.12,2,SS Wire,Yes,22.49,-0.8259,73.02,161.32,183.13,185.23,183.93,221.44,13.416,13.409,19.19,0.2027,19.984,16.084,1.963,-0.016,0.084,-0.037,2,Fail,Moisture Related Defect
2026-01-01 00:24:00,B100008,TP-115,EXT-03,C,PA12,4.0,1.0,1.5,0.1,0.1,0.12,0,None,No,4.0,-0.4837,52.49,192.65,197.57,213.94,214.43,134.94,16.098,16.231,26.04,0.0549,4.106,0.969,1.567,0.106,-0.031,0.067,1,Fail,OD Out of Tolerance
2026-01-01 00:27:00,B100009,TP-107,EXT-01,B,PA11,12.0,9.5,1.25,0.15,0.15,0.1,3,Polyester,Yes,14.949,-0.6202,50.98,192.88,206.26,216.62,209.19,180.63,11.358,11.425,20.11,0.0489,12.028,9.557,1.24,0.028,0.057,-0.01,2,Pass,None
